ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,FNS31050,31050.TXT,0.83998,0.16652,0.27794,3

ROUGE-1+StopWordRemoval,FNS31050,31050.TXT,0.84178,0.07105,0.13104,3

ROUGE-2+StopWordRemoval,FNS31050,31050.TXT,0.61469,0.04066,0.07628,3

ROUGE-SU4+StopWordRemoval,FNS31050,31050.TXT,0.67816,0.03480,0.06620,3

ROUGE-L+StopWordRemoval,FNS32140,32140.TXT,0.83450,0.15080,0.25544,3

ROUGE-1+StopWordRemoval,FNS32140,32140.TXT,0.83177,0.06650,0.12315,3

ROUGE-2+StopWordRemoval,FNS32140,32140.TXT,0.60029,0.03968,0.07445,3

ROUGE-SU4+StopWordRemoval,FNS32140,32140.TXT,0.66163,0.03471,0.06596,3

ROUGE-L+StopWordRemoval,FNS32141,32141.TXT,0.84193,0.10245,0.18267,4

ROUGE-1+StopWordRemoval,FNS32141,32141.TXT,0.64300,0.04028,0.07582,4

ROUGE-2+StopWordRemoval,FNS32141,32141.TXT,0.44966,0.02304,0.04384,4

ROUGE-SU4+StopWordRemoval,FNS32141,32141.TXT,0.48997,0.02006,0.03855,4

ROUGE-L+StopWordRemoval,FNS32020,32020.TXT,0.75602,0.17320,0.28183,3

ROUGE-1+StopWordRemoval,FNS32020,32020.TXT,0.66214,0.09431,0.16511,3

ROUGE-2+StopWordRemoval,FNS32020,32020.TXT,0.47938,0.05580,0.09997,3

ROUGE-SU4+StopWordRemoval,FNS32020,32020.TXT,0.52890,0.05386,0.09776,3

ROUGE-L+StopWordRemoval,FNS31053,31053.TXT,0.76795,0.20956,0.32927,3

ROUGE-1+StopWordRemoval,FNS31053,31053.TXT,0.70154,0.12458,0.21159,3

ROUGE-2+StopWordRemoval,FNS31053,31053.TXT,0.47751,0.07512,0.12982,3

ROUGE-SU4+StopWordRemoval,FNS31053,31053.TXT,0.53309,0.06804,0.12067,3

ROUGE-L+StopWordRemoval,FNS32384,32384.TXT,0.86699,0.24864,0.38646,3

ROUGE-1+StopWordRemoval,FNS32384,32384.TXT,0.83926,0.11356,0.20005,3

ROUGE-2+StopWordRemoval,FNS32384,32384.TXT,0.63515,0.07235,0.12989,3

ROUGE-SU4+StopWordRemoval,FNS32384,32384.TXT,0.67877,0.06344,0.11603,3

ROUGE-L+StopWordRemoval,FNS32021,32021.TXT,0.81812,0.16411,0.27338,4

ROUGE-1+StopWordRemoval,FNS32021,32021.TXT,0.65912,0.08134,0.14482,4

ROUGE-2+StopWordRemoval,FNS32021,32021.TXT,0.53605,0.05083,0.09286,4

ROUGE-SU4+StopWordRemoval,FNS32021,32021.TXT,0.58447,0.04434,0.08243,4

ROUGE-L+StopWordRemoval,FNS32143,32143.TXT,0.82552,0.18961,0.30839,3

ROUGE-1+StopWordRemoval,FNS32143,32143.TXT,0.83497,0.08209,0.14948,3

ROUGE-2+StopWordRemoval,FNS32143,32143.TXT,0.62569,0.05177,0.09563,3

ROUGE-SU4+StopWordRemoval,FNS32143,32143.TXT,0.68503,0.04723,0.08837,3

ROUGE-L+StopWordRemoval,FNS32144,32144.TXT,0.74362,0.22760,0.34852,3

ROUGE-1+StopWordRemoval,FNS32144,32144.TXT,0.74932,0.13220,0.22475,3

ROUGE-2+StopWordRemoval,FNS32144,32144.TXT,0.48366,0.07716,0.13309,3

ROUGE-SU4+StopWordRemoval,FNS32144,32144.TXT,0.55079,0.07558,0.13292,3

ROUGE-L+StopWordRemoval,FNS30888,30888.TXT,0.84500,0.16808,0.28039,3

ROUGE-1+StopWordRemoval,FNS30888,30888.TXT,0.81888,0.08707,0.15740,3

ROUGE-2+StopWordRemoval,FNS30888,30888.TXT,0.58484,0.05414,0.09910,3

ROUGE-SU4+StopWordRemoval,FNS30888,30888.TXT,0.65250,0.05118,0.09492,3

ROUGE-L+StopWordRemoval,FNS32825,32825.TXT,0.74237,0.13746,0.23197,3

ROUGE-1+StopWordRemoval,FNS32825,32825.TXT,0.74315,0.05844,0.10835,3

ROUGE-2+StopWordRemoval,FNS32825,32825.TXT,0.39697,0.02419,0.04560,3

ROUGE-SU4+StopWordRemoval,FNS32825,32825.TXT,0.52705,0.02361,0.04520,3

ROUGE-L+StopWordRemoval,FNS31857,31857.TXT,0.80541,0.10539,0.18639,4

ROUGE-1+StopWordRemoval,FNS31857,31857.TXT,0.75019,0.04346,0.08216,4

ROUGE-2+StopWordRemoval,FNS31857,31857.TXT,0.53326,0.02443,0.04672,4

ROUGE-SU4+StopWordRemoval,FNS31857,31857.TXT,0.60010,0.02098,0.04055,4

ROUGE-L+StopWordRemoval,FNS31979,31979.TXT,0.81648,0.11374,0.19966,3

ROUGE-1+StopWordRemoval,FNS31979,31979.TXT,0.78112,0.04107,0.07804,3

ROUGE-2+StopWordRemoval,FNS31979,31979.TXT,0.56895,0.02668,0.05097,3

ROUGE-SU4+StopWordRemoval,FNS31979,31979.TXT,0.59631,0.02532,0.04858,3

ROUGE-L+StopWordRemoval,FNS31617,31617.TXT,0.79735,0.11465,0.20048,4

ROUGE-1+StopWordRemoval,FNS31617,31617.TXT,0.81450,0.04871,0.09193,4

ROUGE-2+StopWordRemoval,FNS31617,31617.TXT,0.56560,0.02932,0.05575,4

ROUGE-SU4+StopWordRemoval,FNS31617,31617.TXT,0.63376,0.02862,0.05477,4

ROUGE-L+StopWordRemoval,FNS31618,31618.TXT,0.77538,0.19534,0.31207,3

ROUGE-1+StopWordRemoval,FNS31618,31618.TXT,0.79619,0.11813,0.20573,3

ROUGE-2+StopWordRemoval,FNS31618,31618.TXT,0.59978,0.06820,0.12247,3

ROUGE-SU4+StopWordRemoval,FNS31618,31618.TXT,0.63862,0.06129,0.11185,3

ROUGE-L+StopWordRemoval,FNS31265,31265.TXT,0.72483,0.12168,0.20839,4

ROUGE-1+StopWordRemoval,FNS31265,31265.TXT,0.77504,0.04456,0.08427,4

ROUGE-2+StopWordRemoval,FNS31265,31265.TXT,0.49105,0.02490,0.04740,4

ROUGE-SU4+StopWordRemoval,FNS31265,31265.TXT,0.58942,0.02484,0.04767,4

ROUGE-L+StopWordRemoval,FNS31023,31023.TXT,0.80796,0.18481,0.30081,3

ROUGE-1+StopWordRemoval,FNS31023,31023.TXT,0.72360,0.09990,0.17556,3

ROUGE-2+StopWordRemoval,FNS31023,31023.TXT,0.47843,0.06162,0.10917,3

ROUGE-SU4+StopWordRemoval,FNS31023,31023.TXT,0.52277,0.05861,0.10541,3

ROUGE-L+StopWordRemoval,FNS32355,32355.TXT,0.81878,0.16514,0.27485,3

ROUGE-1+StopWordRemoval,FNS32355,32355.TXT,0.80964,0.06659,0.12305,3

ROUGE-2+StopWordRemoval,FNS32355,32355.TXT,0.58401,0.04231,0.07891,3

ROUGE-SU4+StopWordRemoval,FNS32355,32355.TXT,0.62220,0.04088,0.07673,3

ROUGE-L+StopWordRemoval,FNS32113,32113.TXT,0.76484,0.17671,0.28709,4

ROUGE-1+StopWordRemoval,FNS32113,32113.TXT,0.78204,0.08156,0.14772,4

ROUGE-2+StopWordRemoval,FNS32113,32113.TXT,0.54506,0.04600,0.08484,4

ROUGE-SU4+StopWordRemoval,FNS32113,32113.TXT,0.59960,0.04253,0.07942,4

ROUGE-L+StopWordRemoval,FNS32597,32597.TXT,0.80447,0.06881,0.12677,4

ROUGE-1+StopWordRemoval,FNS32597,32597.TXT,0.60280,0.01880,0.03646,4

ROUGE-2+StopWordRemoval,FNS32597,32597.TXT,0.31950,0.00809,0.01578,4

ROUGE-SU4+StopWordRemoval,FNS32597,32597.TXT,0.41314,0.00810,0.01588,4

ROUGE-L+StopWordRemoval,FNS31146,31146.TXT,0.81513,0.17508,0.28825,3

ROUGE-1+StopWordRemoval,FNS31146,31146.TXT,0.79848,0.08033,0.14597,3

ROUGE-2+StopWordRemoval,FNS31146,31146.TXT,0.62627,0.05122,0.09470,3

ROUGE-SU4+StopWordRemoval,FNS31146,31146.TXT,0.68523,0.04651,0.08711,3

ROUGE-L+StopWordRemoval,FNS32236,32236.TXT,0.67933,0.20845,0.31901,3

ROUGE-1+StopWordRemoval,FNS32236,32236.TXT,0.68986,0.13141,0.22076,3

ROUGE-2+StopWordRemoval,FNS32236,32236.TXT,0.43253,0.08329,0.13968,3

ROUGE-SU4+StopWordRemoval,FNS32236,32236.TXT,0.48858,0.08491,0.14468,3

ROUGE-L+StopWordRemoval,FNS31026,31026.TXT,0.85302,0.15979,0.26916,3

ROUGE-1+StopWordRemoval,FNS31026,31026.TXT,0.80393,0.07545,0.13795,3

ROUGE-2+StopWordRemoval,FNS31026,31026.TXT,0.60486,0.04468,0.08321,3

ROUGE-SU4+StopWordRemoval,FNS31026,31026.TXT,0.65490,0.04062,0.07650,3

ROUGE-L+StopWordRemoval,FNS32599,32599.TXT,0.82753,0.14324,0.24422,5

ROUGE-1+StopWordRemoval,FNS32599,32599.TXT,0.77145,0.05393,0.10081,5

ROUGE-2+StopWordRemoval,FNS32599,32599.TXT,0.59306,0.03267,0.06193,5

ROUGE-SU4+StopWordRemoval,FNS32599,32599.TXT,0.63959,0.02786,0.05339,5

ROUGE-L+StopWordRemoval,FNS32116,32116.TXT,0.81238,0.12225,0.21251,3

ROUGE-1+StopWordRemoval,FNS32116,32116.TXT,0.73643,0.05495,0.10226,3

ROUGE-2+StopWordRemoval,FNS32116,32116.TXT,0.52150,0.03457,0.06484,3

ROUGE-SU4+StopWordRemoval,FNS32116,32116.TXT,0.56373,0.03309,0.06250,3

ROUGE-L+StopWordRemoval,FNS31940,31940.TXT,0.81546,0.10257,0.18222,4

ROUGE-1+StopWordRemoval,FNS31940,31940.TXT,0.68282,0.04586,0.08594,4

ROUGE-2+StopWordRemoval,FNS31940,31940.TXT,0.48079,0.02635,0.04997,4

ROUGE-SU4+StopWordRemoval,FNS31940,31940.TXT,0.52480,0.02477,0.04730,4

ROUGE-L+StopWordRemoval,FNS32359,32359.TXT,0.80010,0.11226,0.19689,3

ROUGE-1+StopWordRemoval,FNS32359,32359.TXT,0.74151,0.04512,0.08506,3

ROUGE-2+StopWordRemoval,FNS32359,32359.TXT,0.51160,0.02818,0.05341,3

ROUGE-SU4+StopWordRemoval,FNS32359,32359.TXT,0.56973,0.02601,0.04974,3

ROUGE-L+StopWordRemoval,FNS31942,31942.TXT,0.65347,0.18308,0.28602,3

ROUGE-1+StopWordRemoval,FNS31942,31942.TXT,0.72345,0.10077,0.17690,3

ROUGE-2+StopWordRemoval,FNS31942,31942.TXT,0.44722,0.06017,0.10606,3

ROUGE-SU4+StopWordRemoval,FNS31942,31942.TXT,0.50445,0.06158,0.10976,3

ROUGE-L+StopWordRemoval,FNS30854,30854.TXT,0.79567,0.12546,0.21675,4

ROUGE-1+StopWordRemoval,FNS30854,30854.TXT,0.75692,0.05367,0.10024,4

ROUGE-2+StopWordRemoval,FNS30854,30854.TXT,0.52621,0.03093,0.05842,4

ROUGE-SU4+StopWordRemoval,FNS30854,30854.TXT,0.60645,0.02873,0.05486,4

ROUGE-L+StopWordRemoval,FNS30852,30852.TXT,0.80641,0.17436,0.28672,3

ROUGE-1+StopWordRemoval,FNS30852,30852.TXT,0.74519,0.08746,0.15654,3

ROUGE-2+StopWordRemoval,FNS30852,30852.TXT,0.53466,0.05283,0.09616,3

ROUGE-SU4+StopWordRemoval,FNS30852,30852.TXT,0.57231,0.04766,0.08799,3

ROUGE-L+StopWordRemoval,FNS31260,31260.TXT,0.83849,0.13753,0.23630,3

